--2016-10-02 17:25:11--  http://10.0.0.3:5004/625M.log
Connecting to 10.0.0.3:5004... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.12’

 20450K .......... .......... .......... .......... ..........  3%  193M 3m17s
 20500K .......... .......... .......... .......... ..........  3%  193M 3m16s
 20550K .......... .......... .......... .......... ..........  3%  107M 3m16s
 20600K .......... .......... .......... .......... ..........  3%  247K 3m22s
 20650K .......... .......... .......... .......... ..........  3%  353M 3m21s
 20700K .......... .......... .......... .......... ..........  3%  504M 3m21s
 20750K .......... .......... .......... .......... ..........  3%  482M 3m20s
 20800K .......... .......... .......... .......... ..........  3%  461M 3m20s
 20850K .......... .......... .......... .......... ..........  3%  562M 3m19s
 20900K .......... .......... .......... .......... ..........  3%  514M 3m19s
 20950K .......... .......... .......... .......... ..........  3%  466M 3m18s
 21000K .......... .......... .......... .......... ..........  3%  407M 3m18s
 21050K .......... .......... .......... .......... ..........  3%  563M 3m17s
 21100K .......... .......... .......... .......... ..........  3%  486M 3m17s
 21150K .......... .......... .......... .......... ..........  3%  582M 3m16s
 21200K .......... .......... .......... .......... ..........  3%  360M 3m16s
 21250K .......... .......... .......... .......... ..........  3%  248K 3m21s
